dt,kdcode,score
2024-01-08,000938.SZ,-0.13255133
2024-01-08,000948.SZ,0.055562504
2024-01-08,000949.SZ,0.12742694
2024-01-08,000950.SZ,-0.065389335
2024-01-08,000951.SZ,0.06087947
2024-01-08,000952.SZ,0.125914
2024-01-08,000953.SZ,0.21570694
2024-01-08,000955.SZ,0.16156724
2024-01-08,000957.SZ,-0.010685886
2024-01-08,000958.SZ,0.04323857
2024-01-08,000959.SZ,-0.0284979
2024-01-08,000960.SZ,-0.0027931496
2024-01-08,000961.SZ,-0.12094648
2024-01-08,000962.SZ,0.09384136
2024-01-08,000963.SZ,-0.057706423
2024-01-08,000965.SZ,0.26001456
2024-01-08,000966.SZ,0.06624059
2024-01-08,000967.SZ,0.0019985635
2024-01-08,000968.SZ,-0.017955927
2024-01-08,000969.SZ,-0.0007499062
2024-01-08,000970.SZ,0.0020428435
2024-01-08,000972.SZ,0.29445267
2024-01-08,000973.SZ,0.028412446
2024-01-08,000975.SZ,-0.05259917
2024-01-08,000977.SZ,-0.111321546
2024-01-08,000978.SZ,-0.054688383
2024-01-08,000980.SZ,-0.092309386
2024-01-08,000981.SZ,-0.095847
2024-01-08,000982.SZ,-0.03463633
2024-01-08,000983.SZ,0.07592175
2024-01-08,000985.SZ,0.12792735
2024-01-08,000987.SZ,0.015173997
2024-01-08,000988.SZ,-0.14341772
2024-01-08,000989.SZ,-0.027137715
2024-01-08,000990.SZ,-0.00015542246
2024-01-08,000993.SZ,-0.37073
2024-01-08,000995.SZ,-0.12508008
2024-01-08,000997.SZ,-0.015281846
2024-01-08,000998.SZ,-0.04238535
2024-01-08,000999.SZ,-0.11278488
2024-01-08,001201.SZ,0.047678627
2024-01-08,001202.SZ,-0.041131955
2024-01-08,001203.SZ,-0.010554674
2024-01-08,001205.SZ,0.082753144
2024-01-08,001206.SZ,0.08126303
2024-01-08,001207.SZ,0.004135889
2024-01-08,001208.SZ,0.09584944
2024-01-08,001209.SZ,-0.02284225
2024-01-08,001210.SZ,-0.00859535
2024-01-08,001211.SZ,-0.08131129
2024-01-08,001212.SZ,0.041670136
2024-01-08,001213.SZ,-0.00856885
2024-01-08,001215.SZ,0.035488177
2024-01-08,001216.SZ,0.13011827
2024-01-08,001217.SZ,-0.4401819
2024-01-08,001218.SZ,-0.009525912
2024-01-08,001219.SZ,-0.4077258
2024-01-08,001222.SZ,0.1827285
2024-01-08,001223.SZ,0.033057045
2024-01-08,001225.SZ,-0.08637426
2024-01-08,001226.SZ,-0.33115566
2024-01-08,001227.SZ,-0.0272366
2024-01-08,001228.SZ,0.072671786
2024-01-08,001229.SZ,0.05405041
2024-01-08,001230.SZ,0.04095594
2024-01-08,001231.SZ,0.039978012
2024-01-08,001234.SZ,0.08458476
2024-01-08,001236.SZ,0.08224149
2024-01-08,001238.SZ,-0.15325387
2024-01-08,001255.SZ,0.18107787
2024-01-08,001256.SZ,-0.064954266
2024-01-08,001258.SZ,-0.052794617
2024-01-08,001259.SZ,0.09782761
2024-01-08,001260.SZ,0.12269032
2024-01-08,001266.SZ,-0.37515315
2024-01-08,001267.SZ,0.19318275
2024-01-08,001268.SZ,0.066212974
2024-01-08,001269.SZ,0.047570635
2024-01-08,001270.SZ,-0.028977057
2024-01-08,001278.SZ,0.17567506
2024-01-08,001282.SZ,-0.43330708
2024-01-08,001283.SZ,-0.16520403
2024-01-08,001286.SZ,-0.112049565
2024-01-08,001287.SZ,-0.0015203815
2024-01-08,001288.SZ,0.16154659
2024-01-08,001289.SZ,-0.030794341
2024-01-08,001296.SZ,0.09766732
2024-01-08,001298.SZ,-0.32799342
2024-01-08,001299.SZ,0.09731268
2024-01-08,001300.SZ,-0.4718542
2024-01-08,001301.SZ,0.09220165
2024-01-08,001308.SZ,-0.22067137
2024-01-08,001309.SZ,-0.15117693
2024-01-08,001311.SZ,-0.08780238
2024-01-08,001313.SZ,0.26040345
2024-01-08,001314.SZ,-0.4601788
2024-01-08,001316.SZ,0.03550557
2024-01-08,001317.SZ,-0.010288552
2024-01-08,001318.SZ,-0.44351697
2024-01-08,001319.SZ,0.18444037
2024-01-08,001322.SZ,0.05678218
2024-01-08,001323.SZ,-0.07626373
2024-01-08,001324.SZ,-0.0044170693
2024-01-08,001328.SZ,-0.00028339415
2024-01-08,001330.SZ,0.035264842
2024-01-08,001331.SZ,0.16844158
2024-01-08,001332.SZ,-0.3315809
2024-01-08,001333.SZ,0.034608424
2024-01-08,001336.SZ,0.0138273705
2024-01-08,001337.SZ,-0.17129715
2024-01-08,001338.SZ,0.06869526
2024-01-08,001339.SZ,-0.3809759
2024-01-08,001360.SZ,0.02919799
2024-01-08,001366.SZ,0.040739287
2024-01-08,001367.SZ,-0.009756176
2024-01-08,001368.SZ,-0.0016849494
2024-01-08,001373.SZ,-0.102747716
2024-01-08,001380.SZ,0.07164131
2024-01-08,001696.SZ,0.10467255
2024-01-08,001872.SZ,0.0035855416
2024-01-08,001896.SZ,0.06563208
2024-01-08,001914.SZ,0.029799093
2024-01-08,001965.SZ,0.17704654
2024-01-08,001979.SZ,-0.042948753
2024-01-08,002001.SZ,-0.04582435
2024-01-08,002003.SZ,-0.043328516
2024-01-08,002004.SZ,0.1012313
2024-01-08,002006.SZ,0.02640005
2024-01-08,002007.SZ,-0.054880507
2024-01-08,002008.SZ,-0.043929316
2024-01-08,002009.SZ,0.040226974
2024-01-08,002010.SZ,0.054034024
2024-01-08,002011.SZ,0.064672336
2024-01-08,002012.SZ,0.18368673
2024-01-08,002014.SZ,0.18492284
2024-01-08,002015.SZ,-0.08382511
2024-01-08,002016.SZ,0.18973371
2024-01-08,002017.SZ,0.053445913
2024-01-08,002019.SZ,-0.038011886
2024-01-08,002020.SZ,0.0009865984
2024-01-08,002022.SZ,0.0077481642
2024-01-08,002023.SZ,0.05722661
2024-01-08,002025.SZ,-0.07804309
2024-01-08,002026.SZ,0.06387104
2024-01-08,002027.SZ,0.060855918
2024-01-08,002028.SZ,-0.13414387
2024-01-08,002029.SZ,0.06553526
2024-01-08,002030.SZ,-0.007321687
2024-01-08,002031.SZ,-0.23748517
2024-01-08,002032.SZ,-0.16339153
2024-01-08,002033.SZ,0.09562468
2024-01-08,002034.SZ,-0.0307042
2024-01-08,002035.SZ,0.058668375
2024-01-08,002036.SZ,-0.055289607
2024-01-08,002037.SZ,0.10264714
2024-01-08,002038.SZ,-0.069123484
2024-01-08,002039.SZ,-0.024510201
2024-01-08,002040.SZ,0.17904137
2024-01-08,002041.SZ,0.030379638
2024-01-08,002042.SZ,-0.23513302
2024-01-08,002043.SZ,0.019738965
2024-01-08,002044.SZ,0.17517063
2024-01-08,002045.SZ,-0.30886656
2024-01-08,002046.SZ,0.09058387
2024-01-08,002047.SZ,-0.25212198
2024-01-08,002048.SZ,-0.024501733
2024-01-08,002049.SZ,-0.16212913
2024-01-08,002050.SZ,-0.1671417
2024-01-08,002051.SZ,0.05717001
2024-01-08,002053.SZ,-0.13189799
2024-01-08,002054.SZ,0.09958515
2024-01-08,002055.SZ,0.05479186
2024-01-08,002056.SZ,-0.08639133
2024-01-08,002057.SZ,0.061745603
2024-01-08,002058.SZ,0.24545117
2024-01-08,002059.SZ,0.1236251
2024-01-08,002060.SZ,0.060982425
2024-01-08,002061.SZ,0.12903762
2024-01-08,002062.SZ,0.15359625
2024-01-08,002063.SZ,0.03543378
2024-01-08,002064.SZ,0.014068464
2024-01-08,002065.SZ,0.0010405726
2024-01-08,002066.SZ,0.110600695
2024-01-08,002067.SZ,0.07120784
2024-01-08,002068.SZ,0.19917127
2024-01-08,002069.SZ,0.19041571
2024-01-08,002072.SZ,0.23703983
2024-01-08,002073.SZ,0.01746584
2024-01-08,002074.SZ,-0.06734627
2024-01-08,002075.SZ,-0.035261896
2024-01-08,002076.SZ,0.21946323
2024-01-08,002077.SZ,-0.09950864
2024-01-08,002078.SZ,0.096801385
2024-01-08,002079.SZ,0.012550076
2024-01-08,002080.SZ,-0.024376541
2024-01-08,002081.SZ,0.086719655
2024-01-08,002082.SZ,0.15090051
2024-01-08,002083.SZ,0.10931758
2024-01-08,002084.SZ,0.3089138
2024-01-08,002085.SZ,0.015329982
2024-01-08,002088.SZ,-0.060881674
2024-01-08,002090.SZ,0.049527235
2024-01-08,002091.SZ,-0.014534357
2024-01-08,002092.SZ,0.07012685
2024-01-08,002093.SZ,-0.07028218
2024-01-08,002094.SZ,0.22371951
2024-01-08,002095.SZ,-0.23251887
2024-01-08,002096.SZ,0.113781944
2024-01-08,002097.SZ,0.072745085
2024-01-08,002098.SZ,0.21297078
2024-01-08,002099.SZ,0.03438755
2024-01-08,002100.SZ,0.094731785
2024-01-08,002101.SZ,-0.028952777
2024-01-08,002102.SZ,0.026667967
2024-01-08,002103.SZ,-0.19308522
2024-01-08,002104.SZ,0.045702647
2024-01-08,002105.SZ,-0.17887017
2024-01-08,002106.SZ,-0.0032511498
2024-01-08,002107.SZ,0.14698954
2024-01-08,002108.SZ,-0.12878785
2024-01-08,002109.SZ,0.2760434
2024-01-08,002110.SZ,0.04764753
2024-01-08,002111.SZ,0.07211937
2024-01-08,002112.SZ,0.10460559
2024-01-08,002114.SZ,0.19587919
2024-01-08,002115.SZ,-0.027433116
2024-01-08,002116.SZ,0.1029924
2024-01-08,002117.SZ,-0.013921064
2024-01-08,002119.SZ,0.02372485
2024-01-08,002120.SZ,-0.0223235
2024-01-08,002121.SZ,0.047112826
2024-01-08,002122.SZ,-0.056315303
2024-01-08,002123.SZ,-0.038626373
2024-01-08,002124.SZ,0.055036794
2024-01-08,002125.SZ,0.04320551
2024-01-08,002126.SZ,-0.063687965
2024-01-08,002127.SZ,-0.21115902
2024-01-08,002128.SZ,0.08193361
2024-01-08,002129.SZ,-0.13165222
2024-01-08,002130.SZ,0.05958984
2024-01-08,002131.SZ,-0.097339205
2024-01-08,002132.SZ,0.07401525
2024-01-08,002133.SZ,0.061022885
2024-01-08,002134.SZ,0.13917243
2024-01-08,002135.SZ,-0.07223998
2024-01-08,002136.SZ,0.066962704
2024-01-08,002137.SZ,0.112358674
2024-01-08,002138.SZ,-0.05810188
2024-01-08,002139.SZ,0.0050364197
2024-01-08,002140.SZ,0.12177318
2024-01-08,002141.SZ,0.1432792
2024-01-08,002142.SZ,-0.09681443
2024-01-08,002144.SZ,0.103486076
2024-01-08,002145.SZ,-0.034305893
2024-01-08,002146.SZ,-0.15602665
2024-01-08,002148.SZ,0.09291891
2024-01-08,002149.SZ,0.05441336
2024-01-08,002150.SZ,0.055500768
2024-01-08,002151.SZ,-0.10719168
2024-01-08,002152.SZ,0.01142257
2024-01-08,002153.SZ,-0.029043537
2024-01-08,002154.SZ,0.11960618
2024-01-08,002155.SZ,-0.07157527
2024-01-08,002156.SZ,-0.008341405
2024-01-08,002158.SZ,-0.010273908
2024-01-08,002159.SZ,0.03906671
2024-01-08,002160.SZ,0.2179552
2024-01-08,002161.SZ,0.06618588
2024-01-08,002162.SZ,-0.012418013
2024-01-08,002163.SZ,0.045101754
2024-01-08,002164.SZ,-0.12273805
2024-01-08,002165.SZ,0.11727353
2024-01-08,002166.SZ,-0.02223866
2024-01-08,002167.SZ,0.068140425
2024-01-08,002168.SZ,0.044727378
2024-01-08,002169.SZ,0.032316294
2024-01-08,002170.SZ,0.12891772
2024-01-08,002171.SZ,0.014107153
2024-01-08,002172.SZ,0.100513086
2024-01-08,002173.SZ,-0.06411342
2024-01-08,002174.SZ,0.14950614
2024-01-08,002175.SZ,0.03667692
2024-01-08,002176.SZ,-0.46601796
2024-01-08,002177.SZ,-0.47243285
2024-01-08,002178.SZ,-0.39664662
2024-01-08,002179.SZ,-0.14806645
2024-01-08,002180.SZ,-0.06591964
2024-01-08,002181.SZ,-0.1474645
2024-01-08,002182.SZ,-0.055699598
2024-01-08,002183.SZ,-0.10686953
2024-01-08,002184.SZ,0.046087604
2024-01-08,002185.SZ,-0.035700396
2024-01-08,002186.SZ,0.03675968
2024-01-08,002187.SZ,0.15368116
2024-01-08,002188.SZ,0.20475285
2024-01-08,002189.SZ,-0.01743526
2024-01-08,002190.SZ,0.0057541123
2024-01-08,002191.SZ,0.052042853
2024-01-08,002192.SZ,-0.30335647
2024-01-08,002193.SZ,0.1955748
2024-01-08,002194.SZ,0.06574272
2024-01-08,002195.SZ,-0.025270978
2024-01-08,002196.SZ,0.11190339
2024-01-08,002197.SZ,-0.24061418
2024-01-08,002198.SZ,0.06841966
2024-01-08,002199.SZ,0.11835263
